scale,cavity,area [px²],area [arcsec²],volume [px³],volume [arcsec³],angle [deg],ellipticity
128 pixels,1,983.00,238.00,27670.00,3295.00,-9.90,0.06
128 pixels,2,63.00,15.00,414.00,49.00,100.60,0.26
256 pixels,1,299.00,289.00,4508.00,4295.00,0.50,0.14
256 pixels,2,892.00,864.00,20292.00,19333.00,33.90,0.25
384 pixels,1,165.00,359.00,2310.00,7428.00,16.90,0.40
384 pixels,2,479.00,1045.00,8274.00,26606.00,38.40,0.27
384 pixels,3,267.00,582.00,3346.00,10759.00,-32.80,0.15
512 pixels,1,102.00,396.00,994.00,7576.00,12.20,0.41
512 pixels,2,317.00,1226.00,4314.00,32882.00,39.70,0.29
512 pixels,3,142.00,551.00,1110.00,8461.00,134.30,0.14
640 pixels,1,76.00,462.00,556.00,8277.00,16.30,0.33
640 pixels,2,195.00,1177.00,2072.00,30846.00,36.40,0.30
640 pixels,3,59.00,355.00,414.00,6163.00,125.90,0.13
